File	Word	Vowel Type	Vowel	Vowel Duration (msec)	POA	MOA	Consonant Duration (msec)	Burst Duration	f0	f1_onset	f1_mid	f2_onset	f2_mid
Bd_06	OghoTon	1	o	80.87	R	VLS_N	63.01	1861.84	135.93	412.92	495.45	895.36	985.79
	OghoTon	2	o	82.03	R	VLS_N	63.01	1861.84	162.29	461.41	482.09	1361.29	1281.73
Bd_06	ghoTechhe	1	o	56.57	R	VLS_N	59.07	365.29	127.89	380.28	370.67	1037.58	1117.38
	ghoTechhe	2	e	65.80	R	VLS_N	59.07	365.29	114.44	437.91	435.08	1801.37	1908.03
Bd_08		1	 	495.07			632.95	715.30	--undefined--	1000.26	1000.39	2822.73	2683.32
		2		728.39			632.95	715.30	--undefined--	1000.26	993.86	2817.40	1882.78
Bd_08	flaeTer	1	ae	137.88	R	VLS_N	82.36	13.08	132.51	401.24	651.72	1515.63	1726.19
	flaeTer	2	e	136.64	R	VLS_N	82.36	13.08	170.06	424.90	455.01	1999.27	2039.23
Bd_08	take	1	a	82.85	V	VLS_N	87.55	30.84	113.33	662.36	725.04	1410.48	1362.18
	take	2	e	64.29	V	VLS_N	87.55	30.84	147.79	367.30	397.25	2240.20	2085.18
Bd_08	Oto	1	O	70.08	D	VLS_N	76.98	15.25	114.96	527.37	539.87	940.77	992.01
	Oto	2	o	39.84	D	VLS_N	76.98	15.25	148.45	388.76	417.31	1101.51	1174.29
Bd_09		1	  	1634.60			1720.25	1812.65	--undefined--	1000.01	1000.03	1670.15	2008.40
		2		1821.58			1720.25	1812.65	--undefined--	1000.01	1000.03	1673.87	2029.01
Bd_09	aetodiner	1	ae	85.66	D	VLS_N	92.39	8.93	119.91	595.25	650.41	1870.41	1659.98
	aetodiner	2	o	31.60	D	VLS_N	92.39	8.93	151.06	344.36	332.90	1233.94	1205.27
Bd_10		1	 	1712.92			1800.58	1903.92	129.91	1000.29	1265.69	2734.72	1855.90
		2		1926.26			1800.58	1903.92	156.35	1000.30	386.04	2732.90	1465.95
Bd_10	Oggato	1	O	87.67	V	VS_N	103.34	22.34	117.51	607.21	570.47	926.80	976.61
	Oggato	2	a	86.89	V	VS_N	103.34	22.34	142.65	496.22	604.30	1476.36	1435.09
Bd_10	shOto	1	O	48.94	D	VLS_N	76.28	25.73	117.04	525.17	506.09	995.17	1013.06
	shOto	2	o	75.82	D	VLS_N	76.28	25.73	143.87	404.08	400.69	1045.00	1030.10
Bd_13	shutorang	1	u	39.93	D	VLS_N	70.05	19.10	139.31	297.67	347.89	1510.03	1066.22
	shutorang	2	o	52.67	D	VLS_N	70.05	19.10	165.54	408.58	471.17	1139.57	1138.24
Bd_17	mOto	1	O	67.64	D	VLS_N	83.00	18.84	138.57	603.20	544.27	1179.14	978.13
	mOto	2	o	109.36	D	VLS_N	83.00	18.84	142.64	409.79	415.76	1129.56	1012.76
Bd_18	shutorang	1	u	26.13	D	VLS_N	63.20	18.61	168.20	323.21	355.95	1219.30	1161.79
	shutorang	2	o	46.90	D	VLS_N	63.20	18.61	181.81	405.23	471.78	1200.97	1224.35
Bd_18	naToker	1	a	102.86	R	VLS_N	59.45	13.16	124.11	502.68	683.27	1499.54	1387.79
	naToker	2	o	53.64	R	VLS_N	59.45	13.16	154.41	444.26	431.45	1328.15	1176.89
Bd_18	kichhuTA	1	u	52.40			957.82	997.08	151.59	395.96	209.60	1490.44	1310.64
	kichhuTA	2		869.37			957.82	997.08	157.11	655.69	321.92	1360.60	1098.01
Bd_18	mOto	1	O	56.34			2990.56	2967.79	154.89	567.84	473.85	1289.80	920.90
	mOto	2		2915.35			2990.56	2967.79	--undefined--	313.74	519.05	1260.38	1590.03
Bd_20	ebaepare	1	ae	65.73	BL	VLS_N	101.50	7.32	168.15	474.60	497.36	1573.25	1521.56
	ebaepare	2	a	69.59	BL	VLS_N	101.50	7.32	174.74	506.91	552.40	1145.46	1355.57
Bd_22	Obak	1	O	56.91	BL	VS_N	41.30	2.35	119.46	550.79	559.13	901.41	897.73
	Obak	2	a	72.78	BL	VS_N	41.30	2.35	143.77	515.15	634.93	962.78	1126.95
Bd_24	amake	1	a	70.10			4316.96	4309.25	148.70	598.06	620.14	1037.84	1330.00
	amake	2		4256.02			4316.96	4309.25	--undefined--	412.96	328.96	2183.33	1493.42
Bd_25	dokan	1	o	62.83	V	VLS_N	54.22	28.95	115.88	383.27	424.15	1310.51	948.73
	dokan	2	a	69.26	V	VLS_N	54.22	28.95	140.34	478.69	619.66	1169.15	1377.24
Bd_25		1	  	3236.00			3261.53	3303.71	133.95	317.55	550.63	1394.27	867.18
		2		3251.70			3261.53	3303.71	154.88	401.95	452.24	1102.31	1354.34
