File	Word	Vowel Type	Vowel	Vowel Duration (msec)	POA	MOA	Consonant Duration (msec)	Burst Duration	f0	f1_onset	f1_mid	f2_onset	f2_mid
abd_154	pokar	1	o	73.82	V	VLS_N	79.16	12.16	175.90	373.03	440.20	965.12	866.40
	pokar	2	a	114.75	V	VLS_N	79.16	12.16	149.58	498.18	660.89	1319.07	1426.48
abd_157	bhagganneshone	1	a	56.39	V	VS	109.59	14.82	135.96	807.24	780.09	1304.24	1398.04
	bhagganneshone	2	a	68.90	V	VS	109.59	14.82	167.04	499.08	653.86	1601.84	1645.27
abd_158	thake	1	a	89.66	V	VLS_N	92.99	18.57	135.98	692.77	724.17	1712.08	1451.72
	thake	2	e	110.96	V	VLS_N	92.99	18.57	96.59	304.35	373.36	2440.56	2368.55
abd_16	uddhar	1	u	94.48	D	VAS	97.42	11.53	188.45	392.18	373.77	1036.74	948.95
	uddhar	2	a	99.65	D	VAS	97.42	11.53	204.48	473.29	640.44	1567.23	1525.68
abd_17	uddhar	1	u	88.82	D	VAS	121.37	5.46	167.17	308.46	334.63	784.08	985.68
	uddhar	2	a	141.84	D	VAS	121.37	5.46	202.58	471.92	608.74	1458.36	1476.33
abd_178	toakka	1	a	62.01	V	VLS	131.93	26.60	167.60	609.86	684.45	1030.83	1184.84
	toakka	2	a	67.04	V	VLS	131.93	26.60	177.87	550.67	696.52	1512.95	1485.67
abd_190	shiddho	1	i	46.96	D	VAS	127.51	23.92	179.30	331.33	344.39	2187.22	2122.03
	shiddho	2	o	94.81	D	VAS	127.51	23.92	191.98	367.82	454.82	1270.87	1136.14
abd_2	age	1	a	125.47	V	VS_N	70.27	10.04	210.85	566.97	855.69	1730.66	1669.28
	age	2	e	146.03	V	VS_N	70.27	10.04	186.12	356.63	417.12	2234.32	2203.60
abd_203	briddhi	1	i	79.79	D	VAS	103.83	33.69	178.00	355.05	363.72	1856.64	2028.87
	briddhi	2	i	92.47	D	VAS	103.83	33.69	187.91	245.36	281.45	2052.34	2179.36
abd_214	shOtteo	1	O	70.17	D	VLS	163.54	16.11	154.78	589.93	595.27	1169.37	1103.44
	shOtteo	2	e	53.51	D	VLS	163.54	16.11	180.17	400.04	416.28	1635.08	1566.51
abd_230	choddo	1	o	81.80	D	VS	132.06	11.30	179.40	370.80	403.40	1530.61	1226.19
	choddo	2	o	57.76	D	VS	132.06	11.30	190.64	393.13	408.80	1134.61	1109.42
abd_248	uttor	1	u	78.74	D	VLS	167.98	15.58	166.38	358.64	330.08	781.45	844.11
	uttor	2	o	81.67	D	VLS	167.98	15.58	179.07	400.44	470.24	1240.13	1228.20
abd_272	chhOkkar	1	O	57.76	V	VLS	166.96	24.55	152.84	617.87	626.91	1099.65	1066.05
	chhOkkar	2	a	125.24	V	VLS	166.96	24.55	196.94	1151.32	688.97	1545.07	1334.16
abd_28	briddho	1	i	106.38	D	VAS	125.49	41.05	147.93	315.76	298.03	1953.91	2330.27
	briddho	2	o	185.24	D	VAS	125.49	41.05	188.07	278.15	453.68	1207.82	1043.51
abd_31	uttor	1	u	94.65	D	VLS	114.70	21.78	150.67	323.04	315.41	838.81	928.26
	uttor	2	o	79.89	D	VLS	114.70	21.78	177.03	376.60	416.44	1158.02	1229.34
abd_31	dite	1	i	61.82	D	VLS_N	62.91	16.78	168.69	321.77	333.80	1882.04	2035.69
	dite	2	e	61.70	D	VLS_N	62.91	16.78	177.38	384.57	483.14	1853.19	1721.79
abd_4	chhobiTa	1	i	42.80	R	VLS_N	44.63	13.07	170.47	337.73	336.45	1602.72	2002.35
	chhobiTa	2	a	85.39	R	VLS_N	44.63	13.07	192.28	500.26	598.98	1853.29	1708.69
abd_5	thake	1	a	69.56	V	VLS_N	79.58	20.46	189.51	773.08	749.67	1410.48	1519.61
	thake	2	e	159.74	V	VLS_N	79.58	20.46	144.13	327.96	361.93	2333.61	2311.70
abd_5	barite	1	i	27.07	D	VLS_N	78.03	10.14	169.45	349.09	351.09	1998.27	2245.39
	barite	2	e	156.48	D	VLS_N	78.03	10.14	198.06	430.45	646.85	1951.79	1724.43
abd_62	bhuTaner	1	u	86.55	D	VLS_N	62.92	13.41	124.73	499.23	259.82	933.23	805.42
	bhuTaner	2	a	72.41	D	VLS_N	62.92	13.41	155.03	502.17	612.21	1616.92	1651.93
abd_62	gulibiddho	1	i	63.71	D	VAS	129.10	28.75	168.06	320.73	337.76	2010.51	2233.46
	gulibiddho	2	o	160.80	D	VAS	129.10	28.75	186.79	324.08	457.21	1230.89	1092.00
abd_69	joddha	1	o	86.99	D	VAS	122.66	18.48	175.07	357.38	423.15	1706.75	1406.51
	joddha	2	a	235.56	D	VAS	122.66	18.48	148.64	518.45	660.69	1592.96	1430.94
abd_7	jake	1	a	114.42	V	VLS_N	51.50	29.61	160.46	327.02	679.74	1967.53	1693.08
	jake	2	e	77.03	V	VLS_N	51.50	29.61	203.24	424.22	436.73	2048.85	2018.73
abd_70	take	1	a	80.51	V	VLS_N	67.51	19.83	147.18	549.80	686.68	1630.13	1569.52
	take	2	e	93.86	V	VLS_N	67.51	19.83	167.93	419.38	494.86	2040.59	2114.36
abd_72	joddha	1	o	78.34	D	VAS	115.32	20.46	192.88	395.52	426.91	1742.30	1408.91
	joddha	2	a	201.86	D	VAS	115.32	20.46	149.84	465.99	702.91	1401.14	1452.21
abd_73	protibado	1	o	88.56	D	VLS_N	75.07	19.90	165.27	355.33	416.05	1101.48	1102.77
	protibado	2	i	74.86	D	VLS_N	75.07	19.90	182.04	322.50	360.73	2184.81	2145.72
abd_77	Taka	1	a	82.26	V	VLS_N	73.31	6.77	178.22	565.10	692.69	1510.26	1565.98
	Taka	2	a	121.16	V	VLS_N	73.31	6.77	192.60	538.70	638.24	1486.23	1451.73
abd_78	oder	1	o	66.33	D	VS_N	63.74	13.20	146.33	378.68	407.65	934.54	915.08
	oder	2	e	70.65	D	VS_N	63.74	13.20	174.95	391.11	471.61	1720.53	1874.55
abd_79	kupokat	1	u	47.17	BL	VLS_N	87.78	7.47	169.49	359.39	364.06	799.22	733.87
	kupokat	2	o	54.86	BL	VLS_N	87.78	7.47	174.27	373.95	381.94	773.00	712.38
abd_8	baba	1	a	105.68	BL	VS_N	36.66	7.79	156.77	563.48	737.20	1114.01	1242.38
	baba	2	a	73.49	BL	VS_N	36.66	7.79	177.76	525.12	682.88	1084.12	1248.97
abd_80	ghushite	1	i	30.33	D	VLS_N	80.41	10.08	180.88	251.76	301.00	2245.82	2188.62
	ghushite	2	e	229.14	D	VLS_N	80.41	10.08	154.08	370.65	404.54	2070.68	2150.08
amitava_114	ittadi	1	i	80.38	D	VLS	164.87	13.63	84.70	294.40	317.80	1898.82	2419.45
	ittadi	2	a	82.63	D	VLS	164.87	13.63	189.43	541.18	641.79	1746.30	1688.47
amitava_122	bouddho	1	u	52.65	D	VAS	151.87	29.38	212.13	409.43	386.35	875.31	877.05
	bouddho	2	o	79.36	D	VAS	151.87	29.38	233.28	326.01	432.00	1403.91	917.07
amitava_125	choddo	1	o	81.07	D	VLS	141.27	13.10	176.60	393.20	433.76	1380.82	1119.28
	choddo	2	o	53.21	D	VLS	141.27	13.10	179.34	397.95	398.27	1344.03	1280.54
amitava_39	sthapOttobiddar	1	O	47.44	D	VLS	156.01	16.31	207.61	645.62	515.52	694.47	896.75
	sthapOttobiddar	2	o	37.20	D	VLS	156.01	16.31	242.26	430.34	464.33	1378.74	1266.85
amitava_39	sthapOttobiddar	1	i	59.96	D	VS	145.49	19.44	228.67	360.88	335.91	1566.94	2076.68
	sthapOttobiddar	2	a	71.96	D	VS	145.49	19.44	232.47	495.68	621.73	1589.70	1580.80
amitava_41	Odditio	1	O	112.59	D	VS	162.28	7.64	147.64	689.81	711.00	955.83	753.40
	Odditio	2	o	56.16	D	VS	162.28	7.64	214.82	329.83	315.14	2096.13	2183.79
amitava_41	sthapOtto	1	O	62.73	D	VLS	131.91	12.58	201.58	645.63	520.04	904.09	928.36
	sthapOtto	2	o	39.98	D	VLS	131.91	12.58	216.00	430.23	436.19	1423.08	1461.53
amitava_60	noikOTTo	1	O	72.73	R	VLS	171.92	12.01	153.67	538.10	649.24	1124.79	1117.87
	noikOTTo	2	o	73.63	R	VLS	171.92	12.01	108.31	447.63	434.24	1319.50	1143.31
amitava_71	briddhi	1	i	43.46	D	VAS	112.24	47.41	131.99	337.95	299.71	1919.76	1986.69
	briddhi	2	i	60.21	D	VAS	112.24	47.41	158.49	203.09	281.39	2065.56	2110.66
amitava_78	shotti	1	o	44.98	D	VLS	207.10	21.85	158.89	438.56	442.17	1145.15	1229.29
	shotti	2	i	139.06	D	VLS	207.10	21.85	233.79	327.39	262.56	2238.57	2516.62
amitava_79	prottek	1	o	71.58	D	VLS	150.07	17.20	196.19	497.27	423.26	1203.88	1048.28
	prottek	2	e	38.09	D	VLS	150.07	17.20	257.54	468.36	489.32	2014.60	2103.63
amitava_88	bhittik	1	i	61.57	D	VLS	220.45	19.06	221.47	313.73	321.99	1651.42	1620.96
	bhittik	2	i	77.09	D	VLS	220.45	19.06	245.04	340.43	374.20	2214.39	2350.92
amitava_88	shotti	1	o	45.91	D	VLS	195.14	18.53	195.70	425.36	433.77	1310.89	1342.87
	shotti	2	i	157.24	D	VLS	195.14	18.53	158.43	349.98	295.69	2156.90	2374.77
bd_00	shotti 	1	o	59.79	D	VLS	99.72	28.40	127.08	378.97	391.00	1301.02	1255.78
	shotti 	2	i	58.90	D	VLS	99.72	28.40	159.60	290.00	281.98	2188.38	2104.93
bd_00	shotti	1	o	65.04	D	VLS	154.78	20.37	168.40	334.81	420.20	1555.62	1317.61
	shotti	2	i	110.97	D	VLS	154.78	20.37	132.92	273.32	271.79	2227.17	2248.71
bd_04	shotto	1	o	46.67	D	VLS	150.02	14.73	127.52	408.66	427.74	1149.29	1124.30
	shotto	2	o	56.95	D	VLS	150.02	14.73	148.67	419.24	429.42	1208.51	1053.42
bd_105	shiddhante	1	i	19.21	D	VAS	129.08	19.78	128.17	301.94	301.11	2135.48	2060.97
	shiddhante	2	a	81.47	D	VAS	129.08	19.78	129.34	501.91	583.55	1592.72	1465.55
bd_118	bODDo	1	O	77.19	R	VS	125.78	7.03	114.59	466.28	537.52	847.14	987.17
	bODDo	2	o	48.22	R	VS	125.78	7.03	154.85	446.38	453.65	1185.55	980.89
bd_128	buddhi	1	u	49.16	D	VAS	134.46	91.58	105.86	294.06	288.02	898.06	948.47
	buddhi	2	i	105.07	D	VAS	134.46	91.58	93.58	282.63	251.74	2142.94	2215.74
bd_16	shakkhi	1	a	77.96	V	VLAS	123.52	78.41	131.63	670.38	682.02	1278.93	1354.71
	shakkhi	2	i	68.82	V	VLAS	123.52	78.41	161.88	315.93	337.85	2341.86	1550.18
bd_184	uttor	1	u	87.16	D	VLS	141.87	15.50	119.60	363.39	323.85	884.55	875.71
	uttor	2	o	77.81	D	VLS	141.87	15.50	143.11	366.84	404.23	1191.68	1207.09
bd_313	shroddha	1	o	50.33	D	VAS	111.85	22.72	127.25	505.81	497.05	1013.47	982.51
	shroddha	2	a	79.53	D	VAS	111.85	22.72	164.39	581.87	638.92	1401.73	1364.87
bd_322	uttor	1	u	61.02	D	VLS	114.90	15.06	131.21	320.73	313.16	944.85	925.80
	uttor	2	o	71.59	D	VLS	114.90	15.06	165.02	359.84	422.56	1153.34	1161.97
bd_337	khabba	1	a	44.90	BL	VS	127.15	8.80	122.58	776.01	679.74	1154.01	1099.55
	khabba	2	a	48.37	BL	VS	127.15	8.80	129.78	537.85	550.72	1114.31	1335.11
bd_337	Dabba	1	a	78.56	BL	VS	143.59	10.29	107.04	510.86	598.03	1660.48	1464.96
	Dabba	2	a	111.46	BL	VS	143.59	10.29	96.88	518.68	521.08	1084.26	1139.12
bd_354	uttori	1	u	50.86	D	VLS	132.29	16.06	124.25	322.89	332.34	792.15	903.42
	uttori	2	o	56.91	D	VLS	132.29	16.06	157.09	379.07	401.19	1240.26	1306.23
bd_359	uttor	1	u	63.90	D	VLS	129.94	16.90	114.78	375.54	318.33	888.66	943.41
	uttor	2	o	77.40	D	VLS	129.94	16.90	120.41	391.68	418.72	1006.44	1103.32
bd_95	uttejonae	1	u	38.79	D	VLS	132.55	15.63	128.66	321.65	320.32	854.14	942.79
	uttejonae	2	e	74.55	D	VLS	132.55	15.63	148.82	375.61	394.83	1707.35	1909.08
bd_96	shiddhante	1	i	45.22	D	VAS	89.02	13.57	147.02	312.03	302.85	2122.99	2039.75
	shiddhante	2	a	83.66	D	VAS	89.02	13.57	149.77	501.65	611.55	1613.84	1478.76
chan_01	torunike	1	i	54.10	V	VLS_N	67.69	31.65	138.79	355.11	358.30	2200.59	2347.37
	torunike	2	e	97.56	V	VLS_N	67.69	31.65	111.38	319.84	387.50	2229.22	2149.57
chan_0103	shomriddho	1	i	43.12	D	VAS	182.04	49.91	139.50	385.88	354.09	2118.07	2191.98
	shomriddho	2	o	189.33	D	VAS	182.04	49.91	140.34	375.74	429.83	1284.61	1050.42
chan_0114	mukkhomontri	1	u	47.83	V	VLAS	112.31	71.13	134.04	433.16	391.37	751.85	844.27
	mukkhomontri	2	o	30.70	V	VLAS	112.31	71.13	154.69	463.09	466.21	1066.02	1014.50
chan_0114	buddhodeb	1	u	66.16	D	VAS	135.77	23.83	126.23	395.29	349.29	999.06	1040.55
	buddhodeb	2	o	80.46	D	VAS	135.77	23.83	143.51	423.43	415.26	1498.13	1452.63
chan_0114	bhOTTacharjo	1	O	42.88	D	VLS	110.28	14.59	126.82	573.13	572.71	1127.62	1352.75
	bhOTTacharjo	2	a	66.79	D	VLS	110.28	14.59	141.73	588.15	589.00	1735.56	1701.60
chan_0114	akkha	1	a	92.93	V	VLAS	114.23	60.62	129.42	928.89	794.46	1432.19	1373.15
	akkha	2	a	60.80	V	VLAS	114.23	60.62	142.83	768.90	605.89	1608.78	1573.73
chan_0114	atto	1	a	100.10	D	VLS	242.02	17.16	136.62	816.96	781.12	1294.52	1199.26
	atto	2	o	184.55	D	VLS	242.02	17.16	149.49	435.48	446.94	1287.83	1032.99
chan_0119	bhOrotnaTTOm	1	a	79.22	R	VLS	171.16	16.70	145.64	552.77	670.26	1454.43	1408.33
	bhOrotnaTTOm	2	O	68.92	R	VLS	171.16	16.70	151.58	486.58	529.27	1455.81	1300.62
chan_0119	mohiniaTTam	1	a	101.19	R	VLS	166.37	14.07	135.36	881.87	765.81	1533.90	1314.87
	mohiniaTTam	2	a	95.90	R	VLS	166.37	14.07	143.42	622.61	699.51	1703.70	1503.43
chan_0123	bhOTTacharjer	1	O	61.50	R	VLS	136.45	11.10	122.97	708.49	625.90	1031.57	1213.11
	bhOTTacharjer	2	a	58.80	R	VLS	136.45	11.10	136.17	586.36	577.85	1732.44	1741.72
chan_0123	nritto	1	i	75.43	D	VLS	207.82	16.42	135.13	352.62	370.47	1834.44	2107.28
	nritto	2	o	72.81	D	VLS	207.82	16.42	150.49	395.99	425.42	1393.10	1274.90
chan_0130	uttorayone	1	u	57.62	D	VLS	201.45	12.73	139.75	349.75	318.26	744.82	874.09
	uttorayone	2	o	82.32	D	VLS	201.45	12.73	141.39	441.03	509.37	1395.47	1253.75
chan_0134	mukhopaddhayer	1	a	92.06	D	VAS	145.43	24.68	145.33	557.01	680.32	1111.18	1372.91
	mukhopaddhayer	2	a	71.36	D	VAS	145.43	24.68	140.17	547.58	564.94	1740.30	1755.53
chan_0149	bOndopaddhay	1	a	88.39	D	VAS	125.10	27.65	149.15	565.12	686.01	1159.87	1356.50
	bOndopaddhay	2	a	81.89	D	VAS	125.10	27.65	113.53	815.06	735.03	1676.68	1588.49
chan_0149	bOndopaddhayer	1	a	93.42	D	VAS	140.35	20.25	139.58	544.27	655.12	1147.70	1357.30
	bOndopaddhayer	2	a	55.17	D	VAS	140.35	20.25	140.67	544.63	626.73	1534.63	772.15
chan_0149	abritti	1	i	46.63	D	VLS	189.89	21.19	140.50	353.23	356.91	1893.55	2110.08
	abritti	2	i	119.64	D	VLS	189.89	21.19	110.34	303.89	306.72	2150.70	2230.46
chan_0152	bharotnaTTom	1	a	88.52	R	VLS	168.10	21.78	117.82	501.81	641.11	1460.35	1441.87
	bharotnaTTom	2	O	63.54	R	VLS	168.10	21.78	106.57	469.26	470.90	1305.03	1135.10
chan_0154	nritte	1	i	69.16	D	VLS	189.12	20.82	173.32	372.09	355.81	1951.22	2103.93
	nritte	2	e	187.70	D	VLS	189.12	20.82	111.45	405.47	439.03	2007.76	2094.20
chan_0157	nritte	1	i	68.26	D	VLS	198.58	25.28	167.21	407.82	381.73	1980.73	2127.98
	nritte	2	e	173.62	D	VLS	198.58	25.28	113.62	393.98	442.43	2053.28	2107.51
chan_0157	bhOTTacharjo	1	O	65.84	R	VLS	154.54	8.86	133.36	587.81	657.29	1022.40	1157.89
	bhOTTacharjo	2	a	71.16	R	VLS	154.54	8.86	137.98	587.86	605.57	1711.27	1671.41
chan_0158	abrittite	1	i	54.56	D	VLS	152.33	32.49	163.64	378.87	343.40	1897.44	2079.91
	abrittite	2	i	46.68	D	VLS	152.33	32.49	169.17	313.57	318.89	2163.17	2185.52
chan_0159	shOmaddar	1	a	83.83	D	VS	142.33	13.34	128.71	657.71	707.47	1095.45	1382.23
	shOmaddar	2	a	59.03	D	VS	142.33	13.34	107.15	587.11	638.87	1619.84	1506.22
chan_0165	nritto	1	i	67.14	D	VLS	184.51	20.80	151.06	388.36	379.57	2018.73	2192.29
	nritto	2	o	87.08	D	VLS	184.51	20.80	167.38	410.40	445.66	1412.82	1177.83
chan_0165	alekkhoTi	1	e	63.71	V	VLAS	126.04	59.25	140.42	431.60	427.99	2018.40	2185.72
	alekkhoTi	2	o	47.70	V	VLAS	126.04	59.25	148.46	450.03	434.98	1096.64	1219.61
chan_0174	chOTTopaddhay	1	O	84.34	R	VLS	141.48	9.81	126.33	519.62	635.46	1434.74	1214.61
	chOTTopaddhay	2	o	50.80	R	VLS	141.48	9.81	148.77	460.07	458.10	1406.79	1283.20
chan_0174	chOTTopaddhay	1	a	83.11	D	VAS	142.38	21.10	145.42	575.32	691.68	1177.40	1398.32
	chOTTopaddhay	2	a	99.68	D	VAS	142.38	21.10	114.75	603.87	722.45	1638.27	1586.52
chan_0176	abritti	1	i	48.68	D	VLS	198.86	22.59	151.74	368.73	350.09	1888.04	2038.55
	abritti	2	i	82.82	D	VLS	198.86	22.59	164.90	325.70	322.21	2181.44	2227.19
chan_0176	nritto	1	i	52.82	D	VLS	148.42	19.27	142.20	384.98	382.94	2008.02	2134.20
	nritto	2	o	66.36	D	VLS	148.42	19.27	159.15	403.95	456.45	1475.74	1289.93
chan_0177	chOTTopaddhay	1	O	92.92	R	VLS	118.55	11.78	140.32	496.66	615.90	1609.58	1366.31
	chOTTopaddhay	2	o	46.89	R	VLS	118.55	11.78	160.77	466.24	480.34	1474.32	1352.14
chan_0177	chOTTopaddhay	1	o	107.73	D	VAS	129.77	33.07	154.74	550.75	702.75	1180.67	1417.70
	chOTTopaddhay	2	a	104.64	D	VAS	129.77	33.07	117.62	640.11	717.41	1642.98	1523.05
chan_0178	chOTTopaddhayo	1	O	87.01	R	VLS	137.41	15.71	139.44	493.76	622.89	1552.02	1271.81
	chOTTopaddhayo	2	o	48.19	R	VLS	137.41	15.71	153.74	490.74	477.49	1415.78	1299.27
chan_0178	chOTTopaddhayo	1	a	99.69	D	VAS	108.92	26.31	147.88	566.54	693.48	1177.50	1313.51
	chOTTopaddhayo	2	a	68.96	D	VAS	108.92	26.31	150.72	649.85	633.18	1703.75	1544.36
chan_0179	abritti	1	i	36.25	D	VLS	182.11	24.29	154.70	367.87	355.10	2064.10	2161.00
	abritti	2	i	56.17	D	VLS	182.11	24.29	159.42	319.03	332.88	2137.88	2167.88
chan_02	mOhadeb	1	a	83.86	D	VS_N	64.83	11.13	130.38	895.29	729.20	1358.79	1418.63
	mOhadeb	2	e	81.03	D	VS_N	64.83	11.13	129.68	391.87	407.24	2009.03	2062.19
chan_0205	prottasha	1	o	43.84	D	VLS	199.72	9.27	128.09	451.96	480.51	1130.55	1213.29
	prottasha	2	a	79.36	D	VLS	199.72	9.27	123.71	593.57	709.47	1551.09	1472.41
chan_0206	dOtter	1	O	95.93	D	VLS	192.42	17.59	150.02	481.16	642.19	1471.33	1304.96
	dOtter	2	e	101.85	D	VLS	192.42	17.59	156.52	410.63	441.63	2015.73	2111.62
chan_021		1	 	3679.67			3750.17	3839.31	180.72	1084.62	226.10	2075.91	1306.24
		2		3858.55			3750.17	3839.31	--undefined--	722.85	1088.92	2121.92	2133.61
chan_021	shetu	1	e	70.49	D	VLS_N	89.15	19.24	134.90	411.94	400.67	2027.93	2102.99
	shetu	2	u	66.28	D	VLS_N	89.15	19.24	147.93	364.82	372.63	1378.66	1163.99
chan_0214	riddhiman	1	i	80.96	D	VAS	153.90	41.99	128.57	339.32	346.39	1920.78	2211.61
	riddhiman	2	i	71.79	D	VAS	153.90	41.99	144.05	269.04	325.16	2239.10	2258.86
chan_0217	nOTTo	1	O	119.80	R	VLS	211.26	9.75	125.45	572.53	698.21	1358.50	1095.85
	nOTTo	2	o	151.10	R	VLS	211.26	9.75	149.93	440.58	445.75	1384.61	1103.61
chan_0219	bhOTTacharjo	1	O	58.78	R	VLS	132.15	9.58	128.58	567.21	602.15	1150.96	1271.01
	bhOTTacharjo	2	a	71.88	R	VLS	132.15	9.58	134.54	559.62	583.88	1691.45	1675.50
chan_022	dike	1	i	80.19	V	VLS_N	65.26	30.52	166.82	390.06	312.95	2139.93	2300.56
	dike	2	e	84.55	V	VLS_N	65.26	30.52	169.29	344.46	437.01	2324.72	2169.49
chan_0228	abritti	1	i	41.89	D	VLS	221.86	20.90	129.38	346.70	352.21	1872.42	2073.51
	abritti	2	i	94.14	D	VLS	221.86	20.90	106.89	296.66	291.43	2137.13	2188.96
chan_0229	naTTangsho	1	a	88.58	R	VLS	166.70	12.29	125.38	629.21	733.01	1553.58	1422.15
	naTTangsho	2	a	87.16	R	VLS	166.70	12.29	133.47	648.46	719.20	1599.08	1526.30
chan_023	mOTe	1	O	66.28	D	VLS_N	83.16	22.12	160.50	627.56	643.09	1082.02	1214.83
	mOTe	2	e	163.78	D	VLS_N	83.16	22.12	107.44	400.00	418.96	2002.17	2093.52
chan_0233	naTTangsho	1	a	107.52	R	VLS	149.18	9.50	122.91	605.88	752.79	1828.11	1317.23
	naTTangsho	2	a	84.61	R	VLS	149.18	9.50	140.66	647.67	694.31	1694.54	1578.89
chan_024		1	 	2766.14			2807.90	2899.44	--undefined--	688.03	1066.82	1751.48	2320.59
		2		2920.43			2807.90	2899.44	156.91	688.27	634.93	1763.75	1373.65
chan_024	hote	1	o	41.76	D	VLS_N	91.54	20.99	157.38	508.42	476.38	1248.59	1331.46
	hote	2	e	130.35	D	VLS_N	91.54	20.99	111.53	397.68	448.21	1935.02	2122.19
chan_0240	protteke	1	o	47.72	D	VLS	195.06	20.25	130.66	420.21	412.20	1175.41	1209.35
	protteke	2	e	63.80	D	VLS	195.06	20.25	143.09	414.39	422.53	1901.62	1997.05
chan_0242	dOtto	1	O	87.96	D	VLS	186.95	19.60	133.52	535.14	616.70	1426.82	1273.75
	dOtto	2	o	131.31	D	VLS	186.95	19.60	104.41	445.72	411.42	1274.80	949.12
chan_0258	bhutOttobid	1	O	87.88	D	VLS	142.33	14.47	138.67	493.02	607.15	1380.23	1264.96
	bhutOttobid	2	o	71.57	D	VLS	142.33	14.47	145.59	448.69	425.00	1406.59	1298.70
chan_026	otirikto	1	o	79.14	D	VLS_N	76.87	23.67	137.55	444.77	402.14	915.14	931.64
	otirikto	2	i	56.30	D	VLS_N	76.87	23.67	159.34	336.47	327.54	2258.45	2357.22
chan_026	bhubOn	1	u	76.74	BL	VS_N	49.56	11312.47	137.19	343.44	371.42	1066.80	953.59
	bhubOn	2	O	90.80	BL	VS_N	49.56	11312.47	155.00	417.41	572.78	980.11	1168.67
chan_0266	tOtto	1	O	82.41	D	VLS	230.58	13.31	130.38	589.16	658.78	1288.08	1220.32
	tOtto	2	o	160.91	D	VLS	230.58	13.31	108.21	416.03	414.40	1206.45	964.09
chan_0269	mrittu	1	i	52.86	D	VLS	230.77	23.60	135.49	356.54	367.93	1862.34	2095.38
	mrittu	2	u	169.61	D	VLS	230.77	23.60	110.55	340.39	319.58	1291.92	927.02
chan_0270	mrittu	1	i	44.64	D	VLS	178.37	21.34	126.30	346.47	339.63	2056.19	2158.61
	mrittu	2	u	64.41	D	VLS	178.37	21.34	138.93	339.14	360.07	1304.48	1080.93
chan_028	ghOTonaTi	1	a	73.42	R	VLS_N	60.15	17.54	168.67	554.31	624.38	1576.23	1655.74
	ghOTonaTi	2	i	53.12	R	VLS_N	60.15	17.54	179.17	373.44	362.83	2206.03	2274.14
chan_029		1	 	1967.61			2047.72	2093.02	171.57	657.08	341.11	1934.98	2242.76
		2		2103.19			2047.72	2093.02	155.78	776.99	270.85	1879.52	2051.74
chan_029	jubOker	1	u	80.11	BL	VS_N	45.29	10.18	131.88	281.34	331.51	2119.12	1293.28
	jubOker	2	O	86.30	BL	VS_N	45.29	10.18	145.47	437.41	586.50	1028.95	1146.08
chan_03	edin	1	e	86.45	D	VS_N	51.41	11.29	133.45	378.14	395.87	2286.38	2182.57
	edin	2	i	63.70	D	VS_N	51.41	11.29	154.65	306.95	310.73	2187.33	2227.86
chan_0322	bidday	1	i	65.21	D	VS	139.18	12.27	146.27	333.64	317.75	1925.79	2187.70
	bidday	2	a	108.49	D	VS	139.18	12.27	108.38	512.61	671.17	1794.92	1685.39
chan_0333	mukkhomontri	1	u	61.13	V	VLAS	123.67	63.75	137.62	551.60	418.81	1770.40	760.26
	mukkhomontri	2	o	35.13	V	VLAS	123.67	63.75	156.34	426.62	444.35	1014.87	925.67
chan_0333	buddhodeb	1	u	89.70	D	VAS	129.53	16.65	129.32	943.54	356.53	1954.07	940.22
	buddhodeb	2	o	98.73	D	VAS	129.53	16.65	151.22	314.87	450.14	1556.44	1414.61
chan_0333	bhOTTacharjer	1	O	63.37	D	VLS	116.27	12.48	131.52	624.57	635.17	1121.44	1217.15
	bhOTTacharjer	2	a	70.73	D	VLS	116.27	12.48	141.63	603.35	611.88	1738.20	1670.94
chan_0346	chuattor	1	a	100.98	D	VLS	147.14	24.81	150.14	459.05	667.04	1175.93	1366.60
	chuattor	2	o	79.79	D	VLS	147.14	24.81	159.63	432.84	457.97	1343.10	1284.96
chan_0354	briddhi	1	i	67.45	D	VAS	117.03	23.92	142.12	345.08	336.68	1827.02	2124.26
	briddhi	2	i	63.85	D	VAS	117.03	23.92	148.85	253.03	318.02	2189.36	2176.46
chan_0355	briddhi	1	i	50.61	D	VAS	160.11	48.89	129.28	358.50	357.62	1855.43	2091.76
	briddhi	2	i	78.93	D	VAS	160.11	48.89	105.88	328.80	318.27	2193.22	2185.46
chan_0358	apotti	1	o	53.42	D	VLS	185.33	24.90	138.81	431.13	404.74	890.75	1057.68
	apotti	2	i	92.13	D	VLS	185.33	24.90	105.13	298.74	292.72	2144.47	2204.73
chan_038	dhakka	1	a	69.24	V	VLS	146.34	24.90	137.86	771.73	762.23	1335.81	1426.97
	dhakka	2	a	65.69	V	VLS	146.34	24.90	148.35	577.60	666.42	1698.01	1541.78
chan_0393	bhittik	1	i	62.07	D	VLS	199.22	22.34	163.68	232.00	305.49	2016.83	2082.29
	bhittik	2	i	69.35	D	VLS	199.22	22.34	163.97	335.21	341.98	2072.11	2166.85
chan_0394	shotto	1	o	48.36	D	VLS	175.78	15.91	138.69	421.29	425.65	1144.98	1144.16
	shotto	2	o	63.23	D	VLS	175.78	15.91	154.43	458.47	467.66	1380.55	1224.11
chan_04	bOndopaddhay	1	o	51.61	BL	VLS_N	54.98	18.87	137.05	432.53	488.51	1393.21	1327.99
