File	Word	V1	V2	POA	MOA	V1 Dur	V2 Dur	Consonant Duration	Burst Duration	Burst RMS	F0_V1	F1_onset_V1	F1_mid_V1	F2_onset_V1	F2_mid_V1	F0_V2	F1_onset_V2	F1_mid_V2	F2_onset_V2	F2_mid_V2
Amitava_86	prodhanOto	O	o	D	VLS_N	48.62	121.88	114.22	4.42	0.03	204.68	652.73	632.37	1324.10	1278.81	162.99	463.41	479.81	1235.89	1046.83
Amitava_87	TOmeTo	e	o	R	VLS_N	87.74	163.20	93.71	13.20	0.04	214.08	527.81	458.30	1503.50	1992.13	257.25	463.72	499.80	1251.98	1014.48
Amitava_89	ekOk	e	O	V	VLS_N	99.14	115.41	82.03	23.02	0.02	169.18	315.94	339.49	2472.39	2465.67	232.74	557.92	711.98	1120.13	1153.41
Bd_01	tate	a	e	D	VLS_N	68.82	60.68	63.48	15.52	0.04	116.86	671.10	727.04	1286.47	1277.58	136.78	479.00	516.58	1814.60	1960.04
Bd_03	age	a	e	V	VS_N	108.54	74.66	40.21	12.11	0.06	117.04	767.61	827.41	1258.47	1401.47	141.60	369.74	402.35	1926.29	1924.28
Bd_05	oder	o	e	D	VS_N	77.87	72.94	44.15	14.50	0.09	122.60	387.52	373.25	971.35	888.40	146.55	392.13	432.28	1644.34	1688.38
Bd_06	ghOTonake	O	o	R	VLS_N	96.50	124.98	97.82	22.65	0.06	129.25	255.50	487.81	978.13	960.78	148.76	293.96	404.78	1230.77	1250.50
Bd_06	OghoTon	o	o	R	VLS_N	80.87	82.03	63.01	8.44	0.05	135.93	412.92	495.45	895.36	985.79	162.29	461.41	482.09	1361.29	1281.73
Bd_06	ghoTechhe	o	e	R	VLS_N	56.57	65.80	59.07	8.04	0.08	127.89	380.28	370.67	1037.58	1117.38	114.44	437.91	435.08	1801.37	1908.03
Bd_08	flaeTer	ae	e	R	VLS_N	137.88	136.64	82.36	13.08	0.05	132.51	401.24	651.72	1515.63	1726.19	170.06	424.90	455.01	1999.27	2039.23
Bd_08	take	a	e	V	VLS_N	82.85	64.29	87.55	30.84	0.02	113.33	662.36	725.04	1410.48	1362.18	147.79	367.30	397.25	2240.20	2085.18
Bd_08	Oto	O	o	D	VLS_N	70.08	39.84	76.98	15.25	0.01	114.96	527.37	539.87	940.77	992.01	148.45	388.76	417.31	1101.51	1174.29
Bd_09	aetodiner	ae	o	D	VLS_N	85.66	31.60	92.39	8.93	0.07	119.91	595.25	650.41	1870.41	1659.98	151.06	344.36	332.90	1233.94	1205.27
Bd_10	Oggato	O	a	V	VS_N	87.67	86.89	103.34	22.34	0.04	117.51	607.21	570.47	926.80	976.61	142.65	496.22	604.30	1476.36	1435.09
Bd_10	shOto	O	o	D	VLS_N	48.94	75.82	76.28	25.73	0.02	117.04	525.17	506.09	995.17	1013.06	143.87	404.08	400.69	1045.00	1030.10
Bd_13	shutorang	u	o	D	VLS_N	39.93	52.67	70.05	19.10	0.07	139.31	297.67	347.89	1510.03	1066.22	165.54	408.58	471.17	1139.57	1138.24
